fecha_emision,fecha_corte,id,producto,fe_inventario,cantidad_mb,fe_proceso,fl_atipico,cantidad_mb_lim,vlmen_fndo_ttal,ANON_CO_OSINERG,ANON_PTA_ABASTECIMIENTO
20250701,20250701,15907,G Regular,2025-03-04 00:00:00,1.26638,2025-03-11 12:10:02,0,1.26638,0.11154,13c3a19c48,0af6a53b9b
20250701,20250701,15908,G Regular,2025-05-10 00:00:00,1.112,2025-05-17 12:12:28,0,1.112,0.009,ae79ee44db,1c8735200b
20250701,20250701,15909,G Regular,2025-04-10 00:00:00,32.217,2025-04-17 12:10:02,0,32.217,4.7729,98feeeb363,335ac645f3
20250701,20250701,15910,G Regular,2025-04-11 00:00:00,7.5,2025-04-18 12:10:02,0,7.5,0.064,9a938afd95,06e27f564f
20250701,20250701,15911,G Regular,2025-02-22 00:00:00,0.1505,2025-03-01 12:10:01,0,0.1505,0,6712a90afd,21f2e15b7a
20250701,20250701,15912,G Regular,2025-02-28 00:00:00,0.0502,2025-03-07 12:10:02,0,0.0502,0,6712a90afd,21f2e15b7a
20250701,20250701,15913,G Regular,2025-03-02 00:00:00,0.07864,2025-03-09 12:10:02,0,0.07864,0,6712a90afd,21f2e15b7a
20250701,20250701,15914,G Regular,2025-02-22 00:00:00,4.17285,2025-03-01 12:10:01,0,4.17285,0.03047,c9eb29fe21,3c4ef02753
20250701,20250701,15915,G Regular,2025-04-10 00:00:00,33.9048,2025-04-17 12:10:02,0,33.9048,1.13,5860127617,637582e70e
20250701,20250701,15916,G Regular,2025-03-04 00:00:00,0.25505,2025-03-11 12:10:02,0,0.25505,0,6712a90afd,21f2e15b7a
20250701,20250701,15917,G Regular,2025-02-28 00:00:00,3.11652,2025-03-07 12:10:02,0,3.11652,0.03047,c9eb29fe21,3c4ef02753
20250701,20250701,15918,G Regular,2025-03-02 00:00:00,2.98547,2025-03-09 12:10:02,0,2.98547,0.03047,c9eb29fe21,3c4ef02753
20250701,20250701,15919,G Regular,2025-02-22 00:00:00,0,2025-03-01 12:10:01,0,0,0,fa3a46cee7,50e0672639
20250701,20250701,15920,G Regular,2025-05-09 00:00:00,43.014,2025-05-16 12:12:11,0,43.014,0.987,7af60c0b21,ad3d0cc25f
20250701,20250701,15921,G Regular,2025-03-04 00:00:00,3.01125,2025-03-11 12:10:02,0,3.01125,0.03047,c9eb29fe21,3c4ef02753
20250701,20250701,15922,G Regular,2025-03-13 00:00:00,9.566,2025-03-20 12:10:02,0,9.566,0.174,4fb94f5f59,2a0054029a
20250701,20250701,15923,G Regular,2025-04-06 00:00:00,0.562,2025-04-13 12:10:02,0,0.562,0.009,ae79ee44db,1c8735200b
20250701,20250701,15924,G Regular,2025-03-30 00:00:00,29.857,2025-04-06 12:10:02,0,29.857,0.046,3dcd3239e2,83ae64708f
20250701,20250701,15925,G Regular,2025-03-13 00:00:00,260.389,2025-03-20 12:10:02,0,260.389,31.896,aef48fddb6,7cf5cc2019
20250701,20250701,15926,G Regular,2025-04-07 00:00:00,2.20386,2025-04-14 12:10:02,0,2.20386,0.34273,ee780c6e7a,b1d1e1802b
20250701,20250701,15927,G Regular,2025-03-17 00:00:00,9.13,2025-03-24 12:10:02,0,9.13,0.174,4fb94f5f59,2a0054029a
20250701,20250701,15928,G Regular,2025-03-21 00:00:00,76.373,2025-03-28 12:10:01,0,76.373,0.338,4cf95d140f,6c0c0fb3aa
20250701,20250701,15929,G90,2025-03-13 00:00:00,0,2025-03-20 12:10:02,0,0,0,4cf95d140f,6c0c0fb3aa
20250701,20250701,15930,G Regular,2025-03-25 00:00:00,5.97,2025-04-01 12:10:02,0,5.97,0.51146,e90944ccc2,ac27e8b233
20250701,20250701,15931,G Regular,2025-03-22 00:00:00,246.778,2025-03-29 12:10:01,0,246.778,31.896,aef48fddb6,7cf5cc2019
20250701,20250701,15932,G90,2025-01-08 00:00:00,0,2025-01-15 12:10:01,0,0,0,4cf95d140f,6c0c0fb3aa
20250701,20250701,15933,G Regular,2025-01-02 00:00:00,7.701,2025-01-09 12:10:02,0,7.701,0.064,9a938afd95,06e27f564f
20250701,20250701,15934,G Regular,2025-01-18 00:00:00,1.116,2025-01-25 12:10:02,0,1.116,0.009,ae79ee44db,1c8735200b
20250701,20250701,15935,G Regular,2025-01-16 00:00:00,12.602,2025-01-23 12:10:02,0,12.602,0.186,8709d6cc57,40a28403d5
20250701,20250701,15936,G Regular,2025-01-10 00:00:00,0.1411,2025-01-17 12:10:02,0,0.1411,0,6712a90afd,21f2e15b7a
20250701,20250701,15937,G Regular,2025-01-23 00:00:00,2.7,2025-01-30 12:10:02,0,2.7,0.068,aa1f2db9b4,bd9a626c4f
20250701,20250701,15938,G Regular,2025-01-20 00:00:00,6.23,2025-01-27 12:10:02,0,6.23,0.51146,e90944ccc2,ac27e8b233
20250701,20250701,15939,G Regular,2025-01-10 00:00:00,3.51139,2025-01-17 12:10:02,0,3.51139,0.03047,c9eb29fe21,3c4ef02753
20250701,20250701,15940,G Regular,2025-01-08 00:00:00,124.986,2025-01-15 12:10:01,0,124.986,0.337,4cf95d140f,6c0c0fb3aa
20250701,20250701,15941,G Regular,2025-01-25 00:00:00,15.754,2025-02-01 12:10:10,0,15.754,0,3dcd3239e2,83ae64708f
20250701,20250701,15942,G Regular,2025-01-16 00:00:00,46.70686,2025-01-23 12:10:02,0,46.70686,1.13,5860127617,637582e70e
20250701,20250701,15943,G Regular,2025-01-04 00:00:00,18.063,2025-01-11 12:10:02,0,18.063,0.048,b7c0f5e3b5,693e66b85d
20250701,20250701,15944,G Regular,2025-01-20 00:00:00,84.7,2025-01-27 12:10:02,0,84.7,15.741,f031034954,f187d23508
20250701,20250701,15945,G Regular,2025-02-01 00:00:00,1.23013,2025-02-08 12:10:02,0,1.23013,0.11154,13c3a19c48,0af6a53b9b
20250701,20250701,15946,G Regular,2025-01-23 00:00:00,1.53126,2025-01-30 12:10:02,0,1.53126,0.00795,6ef1e6909e,9fc7ed4647
20250701,20250701,15947,G Regular,2025-01-14 00:00:00,237.054,2025-01-21 12:10:02,0,237.054,35.349,aef48fddb6,7cf5cc2019
20250701,20250701,15948,G Regular,2025-01-18 00:00:00,8.401,2025-01-25 12:10:02,0,8.401,0.065,9a938afd95,06e27f564f
20250701,20250701,15949,G Regular,2025-01-04 00:00:00,62.893,2025-01-11 12:10:02,0,62.893,13.22,f031034954,f187d23508
20250701,20250701,15950,G90,2025-01-14 00:00:00,0,2025-01-21 12:10:02,0,0,0,4cf95d140f,6c0c0fb3aa
20250701,20250701,15951,G Regular,2025-01-10 00:00:00,33.52059,2025-01-17 12:10:02,0,33.52059,0.40085,88e7fc29c2,55376407d5
20250701,20250701,15952,G Regular,2025-02-05 00:00:00,4.545,2025-02-12 12:10:01,0,4.545,0.068,aa1f2db9b4,bd9a626c4f
20250701,20250701,15953,G Regular,2025-01-28 00:00:00,43.73575,2025-02-04 12:10:02,0,43.73575,1.13,5860127617,637582e70e
