fecha_emision,fecha_corte,id,producto,fe_inventario,cantidad_mb,fe_proceso,cantidad_mb_lim,vlmen_fndo_ttal,ANON_CO_OSINERG,ANON_PTA_ABASTECIMIENTO,cantidad_mb_scaled,cantidad_mb_lim_scaled,vlmen_fndo_ttal_scaled
20250701,20250701,2354,Diesel,2025-06-24 00:00:00,9.21718,2025-06-30 12:10:02,9.21718,2.373,5860127617,637582e70e,-0.32779803857320133,-0.32779803857320133,-0.08892070025398921
20250701,20250701,2355,Diesel,2025-06-25 00:00:00,8.74047,2025-06-30 12:10:02,8.74047,2.373,5860127617,637582e70e,-0.3327396380901761,-0.3327396380901761,-0.08892070025398921
20250701,20250701,2356,Diesel,2025-06-26 00:00:00,11.75895,2025-06-30 12:10:02,11.75895,2.373,5860127617,637582e70e,-0.3014499246165798,-0.3014499246165798,-0.08892070025398921
20250701,20250701,2357,Diesel,2025-06-27 00:00:00,8.12792,2025-06-30 12:10:02,8.12792,2.373,5860127617,637582e70e,-0.3390893617882796,-0.3390893617882796,-0.08892070025398921
20250701,20250701,2358,Diesel,2025-06-28 00:00:00,53.27439,2025-06-30 12:10:02,53.27439,2.373,5860127617,637582e70e,0.12890118664812183,0.12890118664812183,-0.08892070025398921
20250701,20250701,2359,Diesel,2025-06-29 00:00:00,53.2538,2025-06-30 12:10:02,53.2538,2.373,5860127617,637582e70e,0.1286877496863327,0.1286877496863327,-0.08892070025398921
20250701,20250701,2360,Diesel,2025-06-30 00:00:00,53.25003,2025-06-30 12:10:02,53.25003,2.373,5860127617,637582e70e,0.12864866967924457,0.12864866967924457,-0.08892070025398921
20250701,20250701,2361,Diesel,2025-05-22 00:00:00,65.318,2025-05-29 12:10:13,65.318,2.276,8709d6cc57,40a28403d5,0.2537458455783578,0.2537458455783578,-0.09717338709487709
20250701,20250701,2362,Diesel,2025-05-24 00:00:00,29.858,2025-05-31 12:10:02,29.858,0.324,9a938afd95,06e27f564f,-0.11383427414207205,-0.11383427414207205,-0.2632480748620224
20250701,20250701,2363,Diesel,2025-05-28 00:00:00,2.8037,2025-06-04 12:10:02,2.8037,0.01383,6ef1e6909e,9fc7ed4647,-0.3942804905253892,-0.3942804905253892,-0.28963710452633357
20250701,20250701,2364,Diesel,2025-05-22 00:00:00,79.724,2025-05-29 12:10:13,79.724,1.795,aa1f2db9b4,bd9a626c4f,0.40307915648339204,0.40307915648339204,-0.13809650431618697
20250701,20250701,2365,Diesel,2025-05-23 00:00:00,674.367,2025-05-30 12:11:38,674.367,62.508,aef48fddb6,7cf5cc2019,6.56717800394294,6.56717800394294,5.02731974486757
20250701,20250701,2366,Diesel,2025-05-23 00:00:00,426.094,2025-05-30 12:11:38,426.094,4.559,4cf95d140f,6c0c0fb3aa,3.993567765269779,3.993567765269779,0.09706253102622575
20250701,20250701,2367,Diesel,2025-06-04 00:00:00,29.73271,2025-06-11 12:10:02,29.73271,0.91371,ee780c6e7a,b1d1e1802b,-0.11513303649965165,-0.11513303649965165,-0.21307599283171333
20250701,20250701,2368,Diesel,2025-06-23 00:00:00,3.19183,2025-06-30 12:10:02,3.19183,0.01586,fa3a46cee7,50e0672639,-0.39025711568424165,-0.39025711568424165,-0.2894643936573954
20250701,20250701,2369,Diesel,2025-06-24 00:00:00,3.2585,2025-06-30 12:10:02,3.2585,0.01586,fa3a46cee7,50e0672639,-0.38956601115570927,-0.38956601115570927,-0.2894643936573954
20250701,20250701,2370,Diesel,2025-06-25 00:00:00,3.25302,2025-06-30 12:10:02,3.25302,0.01586,fa3a46cee7,50e0672639,-0.389622817107657,-0.389622817107657,-0.2894643936573954
20250701,20250701,2371,Diesel,2025-06-26 00:00:00,2.95526,2025-06-30 12:10:02,2.95526,0.01586,fa3a46cee7,50e0672639,-0.3927094120441475,-0.3927094120441475,-0.2894643936573954
20250701,20250701,2372,Diesel,2025-06-27 00:00:00,1.7155,2025-06-30 12:10:02,1.7155,0.01586,fa3a46cee7,50e0672639,-0.40556082572786445,-0.40556082572786445,-0.2894643936573954
20250701,20250701,2373,Diesel,2025-06-28 00:00:00,1.45471,2025-06-30 12:10:02,1.45471,0.01586,fa3a46cee7,50e0672639,-0.40826418780970003,-0.40826418780970003,-0.2894643936573954
20250701,20250701,2374,Diesel,2025-06-29 00:00:00,0.77614,2025-06-30 12:10:02,0.77614,0.01586,fa3a46cee7,50e0672639,-0.41529827810407943,-0.41529827810407943,-0.2894643936573954
20250701,20250701,2375,Diesel,2025-06-30 00:00:00,0.77807,2025-06-30 12:10:02,0.77807,0.01586,fa3a46cee7,50e0672639,-0.41527827162830216,-0.41527827162830216,-0.2894643936573954
20250701,20250701,2376,Diesel,2025-06-09 00:00:00,27.94796,2025-06-16 12:10:02,27.94796,0.91371,ee780c6e7a,b1d1e1802b,-0.13363384356877286,-0.13363384356877286,-0.21307599283171333
20250701,20250701,2377,Diesel,2025-06-23 00:00:00,26.12357,2025-06-30 12:10:02,26.12357,0.91371,ee780c6e7a,b1d1e1802b,-0.15254556084504906,-0.15254556084504906,-0.21307599283171333
20250701,20250701,2378,Diesel,2025-06-04 00:00:00,0.0,2025-06-11 12:10:02,0.0,0.0,3dcd3239e2,83ae64708f,-0.4233437838604193,-0.4233437838604193,-0.29081375049550345
20250701,20250701,2379,Diesel,2025-06-24 00:00:00,27.3298,2025-06-30 12:10:02,27.3298,0.91371,ee780c6e7a,b1d1e1802b,-0.1400417208052754,-0.1400417208052754,-0.21307599283171333
